Date,Pair,Open,High,Low,Close
12/29/2006 0:00,GBPUSD,1.9626,1.9669,1.9566,1.9603
1/2/2007 0:00,GBPUSD,1.9613,1.9741,1.9587,1.9732
1/3/2007 0:00,GBPUSD,1.9731,1.975,1.948,1.9505
1/4/2007 0:00,GBPUSD,1.9504,1.9529,1.9396,1.9441
1/5/2007 0:00,GBPUSD,1.9438,1.9441,1.9263,1.9291
1/8/2007 0:00,GBPUSD,1.9303,1.9403,1.926,1.9389
1/9/2007 0:00,GBPUSD,1.9387,1.9454,1.938,1.9387
1/10/2007 0:00,GBPUSD,1.9388,1.9421,1.9312,1.9326
1/11/2007 0:00,GBPUSD,1.9325,1.9536,1.9316,1.9443
1/12/2007 0:00,GBPUSD,1.9444,1.9606,1.9425,1.9589
1/15/2007 0:00,GBPUSD,1.959,1.9667,1.9569,1.9638
1/16/2007 0:00,GBPUSD,1.9639,1.9706,1.959,1.9605
1/17/2007 0:00,GBPUSD,1.9604,1.9726,1.9599,1.9697
1/18/2007 0:00,GBPUSD,1.9696,1.9777,1.9635,1.9738
1/19/2007 0:00,GBPUSD,1.9736,1.9772,1.9694,1.9738
1/22/2007 0:00,GBPUSD,1.9737,1.9786,1.9715,1.9752
1/23/2007 0:00,GBPUSD,1.9753,1.9913,1.9748,1.9814
1/24/2007 0:00,GBPUSD,1.9811,1.983,1.9644,1.9682
1/25/2007 0:00,GBPUSD,1.968,1.9733,1.9623,1.9634
1/26/2007 0:00,GBPUSD,1.9632,1.9679,1.9559,1.9593
1/29/2007 0:00,GBPUSD,1.961,1.9613,1.9547,1.9605
1/30/2007 0:00,GBPUSD,1.9607,1.9695,1.9599,1.9625
1/31/2007 0:00,GBPUSD,1.9622,1.9668,1.948,1.964
2/1/2007 0:00,GBPUSD,1.9643,1.9737,1.962,1.9671
2/2/2007 0:00,GBPUSD,1.9674,1.9746,1.9635,1.966
2/5/2007 0:00,GBPUSD,1.9653,1.9667,1.9535,1.9598
2/6/2007 0:00,GBPUSD,1.96,1.972,1.9588,1.9709
2/7/2007 0:00,GBPUSD,1.9707,1.9732,1.9672,1.97
2/8/2007 0:00,GBPUSD,1.9701,1.9727,1.9541,1.9586
2/9/2007 0:00,GBPUSD,1.9585,1.96,1.9457,1.949
2/12/2007 0:00,GBPUSD,1.9518,1.9566,1.9437,1.946
2/13/2007 0:00,GBPUSD,1.9458,1.9522,1.94,1.9458
2/14/2007 0:00,GBPUSD,1.9459,1.9639,1.9453,1.9629
2/15/2007 0:00,GBPUSD,1.963,1.9678,1.9504,1.9506
2/16/2007 0:00,GBPUSD,1.9511,1.954,1.9461,1.9496
2/19/2007 0:00,GBPUSD,1.9543,1.956,1.9429,1.9506
2/20/2007 0:00,GBPUSD,1.9508,1.9575,1.9477,1.9546
2/21/2007 0:00,GBPUSD,1.9548,1.959,1.9486,1.9541
2/22/2007 0:00,GBPUSD,1.954,1.96,1.946,1.9564
2/23/2007 0:00,GBPUSD,1.9565,1.9654,1.9535,1.9635
2/26/2007 0:00,GBPUSD,1.9632,1.9659,1.9606,1.9632
2/27/2007 0:00,GBPUSD,1.9631,1.9672,1.9591,1.964
2/28/2007 0:00,GBPUSD,1.9641,1.9644,1.9516,1.9629
3/1/2007 0:00,GBPUSD,1.9628,1.9651,1.9553,1.9578
3/2/2007 0:00,GBPUSD,1.9579,1.9579,1.9411,1.9433
3/5/2007 0:00,GBPUSD,1.9444,1.9447,1.9184,1.9191
3/6/2007 0:00,GBPUSD,1.9192,1.9335,1.9185,1.9335
3/7/2007 0:00,GBPUSD,1.9342,1.936,1.926,1.9304
3/8/2007 0:00,GBPUSD,1.9306,1.9352,1.9271,1.9292
3/9/2007 0:00,GBPUSD,1.9289,1.934,1.9266,1.932
3/12/2007 0:00,GBPUSD,1.9346,1.9433,1.925,1.9325
3/13/2007 0:00,GBPUSD,1.9324,1.9353,1.927,1.9281
3/14/2007 0:00,GBPUSD,1.9282,1.9372,1.9212,1.935
3/15/2007 0:00,GBPUSD,1.9349,1.9392,1.9306,1.9364
3/16/2007 0:00,GBPUSD,1.9365,1.9504,1.9357,1.9421
3/19/2007 0:00,GBPUSD,1.9403,1.9472,1.9394,1.9449
3/20/2007 0:00,GBPUSD,1.9447,1.9622,1.9429,1.9612
